Employment 2034
1652.6
40.9
16.4
12.3
17.4
283.8
35.3
26.4
97.1
10.1
75.9
23.2
1.8
70.3
14.9
11.2
19.4
10.3
24.4
10.8
145.0
29.5
28.7
17.6
103.9
12.1
405.5
8.1
439.6
12.7
2.9
49.8
9.2
6.7
9.5
128.4
115.1
220.5
11.9
9.7
14.8
140.7
124.8
14.0
1.8
20.2
37.6
9.5
14.4
95.4
17.3
26.3
99.0
175.4
21.1
839.2
23.1
32.0
18.6
263.2
79.2
801.5
12.9
149.4
427.9
37.6
23.3
70.8
64.5
85.6
10.1
1519.1
76.4
2.8
22.8
24.2
36.9
51.0
18.5
327.7
388.2
165.6
1242.0
109.0
144.5
552.3
84.7
16.5
1.9
36.9
40.9
66.6
13.8
123.0
101.5
109.2
1002.1
18.3
14.3
2843.6
210.4
211.3
22.1
133.1
17.0
59.0
26.0
91.0
322.7
413.3
962.4
62.6
4.9
66.2
387.5
337.9
426.2
15.2
264.6
84.8
357.2
326.0
166.7
11.5
31.6
31.6
4.5
58.3
1.5
36.6
124.7
72.5
20.9
112.7
430.3
48.3
768.7
82.4
200.6
155.5
158.1
31.9
510.5
113.9
47.2
566.5
702.5
78.4
46.7
29.5
146.5
1563.4
598.4
15.0
48.3
28.1
25.3
579.2
475.4
36.0
1677.2
142.7
7.6
357.4
6.5
212.1
7.1
77.8
421.3
267.6
17.7
185.9
11.9
43.5
64.8
11.3
32.9
3.2
16.5
94.7
27.9
16.2
2660.3
5.7
47.9
153.6
104.9
328.3
77.5
72.7
79.1
406.3
237.2
33.6
6.6
135.2
11.3
29.2
4.4
117.1
101.7
31.7
95.9
560.6
141.8
478.6
216.7
22.8
15.9
1.2
4.3
491.3
107.4
18.8
16.1
17.8
116.5
61.7
328.1
230.5
87.9
76.5
134.0
389.6
17.7
94.3
20.4
7.4
60.7
24.7
205.7
135.8
273.3
896.1
15.1
8.9
101.8
1394.8
25.4
168.5
3.7
13.6
190.2
30.3
54.4
68.3
162.1
72.2
46.5
8.8
13.0
41.0
42.1
9.3
94.3
14.3
8.6
35.6
494.9
26.1
414.2
5.8
6.4
66.8
15.0
58.4
2.5
157.1
5.2
3.3
119.1
12.1
43.3
4.2
825.0
488.1
213.4
26.2
4029.2
27.6
19.4
70.9
45.2
389.6
39.4
77.2
997.4
64.4
141.4
26.2
15.2
356.7
970.6
55.5
131.1
67.0
100.5
1288.0
33.1
276.4
230.0
636.5
320.0
1554.4
159.1
165.4
706.9
21.8
1360.3
73.8
